URLs,Subdirectories
https://leetcode.com/problems/two-sum/solution/,"['https:', '', 'leetcode.com', 'problems', 'two-sum', 'solution', '']"
https://leetcode.com/problems/add-two-numbers/solution/,"['https:', '', 'leetcode.com', 'problems', 'add-two-numbers', 'solution', '']"
https://leetcode.com/problems/longest-substring-without-repeating-characters/solution/,"['https:', '', 'leetcode.com', 'problems', 'longest-substring-without-repeating-characters', 'solution', '']"
https://leetcode.com/problems/median-of-two-sorted-arrays/solution/,"['https:', '', 'leetcode.com', 'problems', 'median-of-two-sorted-arrays', 'solution', '']"
https://leetcode.com/problems/longest-palindromic-substring/solution/,"['https:', '', 'leetcode.com', 'problems', 'longest-palindromic-substring', 'solution', '']"
https://leetcode.com/problems/zigzag-conversion/solution/,"['https:', '', 'leetcode.com', 'problems', 'zigzag-conversion', 'solution', '']"
https://leetcode.com/problems/reverse-integer/solution/,"['https:', '', 'leetcode.com', 'problems', 'reverse-integer', 'solution', '']"
https://leetcode.com/problems/string-to-integer-atoi/solution/,"['https:', '', 'leetcode.com', 'problems', 'string-to-integer-atoi', 'solution', '']"
https://leetcode.com/problems/palindrome-number/solution/,"['https:', '', 'leetcode.com', 'problems', 'palindrome-number', 'solution', '']"
https://leetcode.com/problems/regular-expression-matching/solution/,"['https:', '', 'leetcode.com', 'problems', 'regular-expression-matching', 'solution', '']"
https://leetcode.com/problems/container-with-most-water/solution/,"['https:', '', 'leetcode.com', 'problems', 'container-with-most-water', 'solution', '']"
https://leetcode.com/problems/integer-to-roman/solution/,"['https:', '', 'leetcode.com', 'problems', 'integer-to-roman', 'solution', '']"
https://leetcode.com/problems/roman-to-integer/solution/,"['https:', '', 'leetcode.com', 'problems', 'roman-to-integer', 'solution', '']"
https://leetcode.com/problems/longest-common-prefix/solution/,"['https:', '', 'leetcode.com', 'problems', 'longest-common-prefix', 'solution', '']"
https://leetcode.com/problems/3sum/solution/,"['https:', '', 'leetcode.com', 'problems', '3sum', 'solution', '']"
https://leetcode.com/problems/3sum-closest/solution/,"['https:', '', 'leetcode.com', 'problems', '3sum-closest', 'solution', '']"
https://leetcode.com/problems/letter-combinations-of-a-phone-number/solution/,"['https:', '', 'leetcode.com', 'problems', 'letter-combinations-of-a-phone-number', 'solution', '']"
https://leetcode.com/problems/4sum/solution/,"['https:', '', 'leetcode.com', 'problems', '4sum', 'solution', '']"
https://leetcode.com/problems/remove-nth-node-from-end-of-list/solution/,"['https:', '', 'leetcode.com', 'problems', 'remove-nth-node-from-end-of-list', 'solution', '']"
https://leetcode.com/problems/valid-parentheses/solution/,"['https:', '', 'leetcode.com', 'problems', 'valid-parentheses', 'solution', '']"
https://leetcode.com/problems/merge-two-sorted-lists/solution/,"['https:', '', 'leetcode.com', 'problems', 'merge-two-sorted-lists', 'solution', '']"
https://leetcode.com/problems/generate-parentheses/solution/,"['https:', '', 'leetcode.com', 'problems', 'generate-parentheses', 'solution', '']"
https://leetcode.com/problems/merge-k-sorted-lists/solution/,"['https:', '', 'leetcode.com', 'problems', 'merge-k-sorted-lists', 'solution', '']"
https://leetcode.com/problems/swap-nodes-in-pairs/solution/,"['https:', '', 'leetcode.com', 'problems', 'swap-nodes-in-pairs', 'solution', '']"
https://leetcode.com/problems/reverse-nodes-in-k-group/solution/,"['https:', '', 'leetcode.com', 'problems', 'reverse-nodes-in-k-group', 'solution', '']"
https://leetcode.com/problems/remove-duplicates-from-sorted-array/solution/,"['https:', '', 'leetcode.com', 'problems', 'remove-duplicates-from-sorted-array', 'solution', '']"
https://leetcode.com/problems/remove-element/solution/,"['https:', '', 'leetcode.com', 'problems', 'remove-element', 'solution', '']"
https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/solution/,"['https:', '', 'leetcode.com', 'problems', 'find-the-index-of-the-first-occurrence-in-a-string', 'solution', '']"
https://leetcode.com/problems/divide-two-integers/solution/,"['https:', '', 'leetcode.com', 'problems', 'divide-two-integers', 'solution', '']"
https://leetcode.com/problems/substring-with-concatenation-of-all-words/solution/,"['https:', '', 'leetcode.com', 'problems', 'substring-with-concatenation-of-all-words', 'solution', '']"
https://leetcode.com/problems/next-permutation/solution/,"['https:', '', 'leetcode.com', 'problems', 'next-permutation', 'solution', '']"
https://leetcode.com/problems/longest-valid-parentheses/solution/,"['https:', '', 'leetcode.com', 'problems', 'longest-valid-parentheses', 'solution', '']"
https://leetcode.com/problems/search-in-rotated-sorted-array/solution/,"['https:', '', 'leetcode.com', 'problems', 'search-in-rotated-sorted-array', 'solution', '']"
https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/solution/,"['https:', '', 'leetcode.com', 'problems', 'find-first-and-last-position-of-element-in-sorted-array', 'solution', '']"
https://leetcode.com/problems/search-insert-position/solution/,"['https:', '', 'leetcode.com', 'problems', 'search-insert-position', 'solution', '']"
https://leetcode.com/problems/valid-sudoku/solution/,"['https:', '', 'leetcode.com', 'problems', 'valid-sudoku', 'solution', '']"
https://leetcode.com/problems/sudoku-solver/solution/,"['https:', '', 'leetcode.com', 'problems', 'sudoku-solver', 'solution', '']"
https://leetcode.com/problems/count-and-say/solution/,"['https:', '', 'leetcode.com', 'problems', 'count-and-say', 'solution', '']"
https://leetcode.com/problems/combination-sum/solution/,"['https:', '', 'leetcode.com', 'problems', 'combination-sum', 'solution', '']"
https://leetcode.com/problems/combination-sum-ii/solution/,"['https:', '', 'leetcode.com', 'problems', 'combination-sum-ii', 'solution', '']"
https://leetcode.com/problems/first-missing-positive/solution/,"['https:', '', 'leetcode.com', 'problems', 'first-missing-positive', 'solution', '']"
